cod_centro_asignacion,Frequency.2,codes,spanish description,english description,comment
3143,1,1563,2,,
1347,1,987,14,,
243,1,1104,7,,
984,1,1350,9,,
227,1,1434,23,,
46,1,1602,2,,
2978,1,1046,8,,
225,1,1419,6,,
2413,1,1560,16,,
511,1,1596,18,,
701,1,1691,20,,
424,1,948,14,,
168,1,1242,5,,
263,1,1603,8,,
3053,1,1300,23,,
3086,1,1039,3,,
228,1,1407,23,,
714,1,1216,16,,
66,1,1174,2,,
149,1,1652,5,,
396,1,962,13,,
23,1,1552,1,,
348,1,1361,11,,
2730,1,883,3,,
372,1,1088,12,,
181,1,1094,6,,
911,1,1710,7,,
40,1,1059,2,,
224,1,1476,6,,
62,1,1612,2,,
686,1,1472,4,,
2344,1,1440,12,,
460,1,941,15,,
620,1,1485,13,,
2337,1,940,12,,
286,1,1594,9,,
720,1,1739,6,,
953,1,1115,10,,
406,1,1082,14,,
2346,1,1307,12,,
321,1,1080,11,,
705,1,1109,18,,
2425,1,898,19,,
352,1,960,12,,
359,1,1574,12,,
646,1,1134,13,,
2547,1,1258,12,,
202,1,1654,2,,
268,1,1112,8,,
549,1,1126,21,,
668,1,1359,2,,
615,1,1412,22,,
120,1,1505,4,,
485,1,1067,16,,
490,1,1103,17,,
450,1,1538,14,,
266,1,1287,8,,
391,1,1027,13,,
704,1,1630,18,,
912,1,1226,7,,
2247,1,1247,15,,
309,1,929,10,,
216,1,1689,6,,
322,1,958,11,,
274,1,1405,9,,
742,1,1281,21,,
401,1,1436,13,,
301,1,1379,10,,
622,1,1635,13,,
1501,1,1084,3,,
2981,1,1161,8,,
351,1,1339,12,,
1500,1,1138,1,,
553,1,1621,21,,
83,1,1442,3,,
466,1,1252,15,,
166,1,1550,5,,
738,1,1524,2,,
276,1,1730,9,,
125,1,934,4,,
128,1,1237,4,,
2930,1,1464,4,,
366,1,1365,12,,
522,1,1679,19,,
1203,1,1542,13,,
313,1,1085,10,,
122,1,1511,4,,
508,1,1158,18,,
2645,1,1667,0,,
307,1,1721,10,,
153,1,1731,5,,
229,1,1064,23,,
758,1,1425,13,,
323,1,1211,11,,
278,1,943,9,,
150,1,1322,5,,
16,1,1062,1,,
461,1,933,15,,
2974,1,1257,8,,
42,1,1189,3,,
2238,1,1279,15,,
205,1,1229,6,,
484,1,1079,16,,
655,1,1463,16,,
2805,1,1627,15,,
419,1,1042,14,,
381,1,1729,12,,
662,1,1515,2,,
631,1,966,17,,
2232,1,946,21,,
