fecha_fin_tratamiento,Frequency.6
2014-07-16,57466.0
2014-03-19,57450.0
2015-08-11,57441.0
2014-12-12,57412.0
2014-11-28,57323.0
2014-06-19,57290.0
2014-08-20,57256.0
2015-07-30,57239.0
2014-06-26,57222.0
2015-07-24,57216.0
2014-01-11,57194.0
2015-04-03,57042.0
2015-04-11,57006.0
2014-04-25,57005.0
2014-05-20,56976.0
2015-04-04,56959.0
2014-06-06,56933.0
2014-09-18,56788.0
2014-08-06,56743.0
2014-09-25,56732.0
2014-01-02,56718.0
2014-09-22,56657.0
2014-07-15,56593.0
2014-07-23,56539.0
2014-07-03,56521.0
2015-08-07,56367.0
2014-06-13,56353.0
2015-08-31,56256.0
2014-10-10,56253.0
2014-10-03,56242.0
2014-09-09,56235.0
2015-08-03,56234.0
2014-06-30,56214.0
2015-08-27,56086.0
2014-07-07,55913.0
2015-08-06,55900.0
2014-08-27,55819.0
2014-09-03,55789.0
2015-08-13,55678.0
2014-05-16,55629.0
2014-12-24,55437.0
2014-12-05,55385.0
2014-06-20,55325.0
2015-08-20,55283.0
2014-06-27,55235.0
2015-06-13,55145.0
2015-07-31,55144.0
2015-04-18,55105.0
2014-06-23,55007.0
2014-02-16,54997.0
2015-12-20,54946.0
2014-08-13,54917.0
2014-01-25,54893.0
2014-07-22,54807.0
2016-01-04,54803.0
2015-06-14,54715.0
2014-07-11,54687.0
2014-06-16,54582.0
2015-11-29,54549.0
2015-08-24,54541.0
2014-07-14,54538.0
2014-04-12,54516.0
2014-04-28,54515.0
2014-01-12,54426.0
2015-12-08,54378.0
2014-09-02,54365.0
2015-04-19,54299.0
2015-08-17,54286.0
2015-08-28,54165.0
2014-03-15,54135.0
2014-03-29,54050.0
2014-01-03,54008.0
2014-07-10,54004.0
2015-12-19,53856.0
2015-05-24,53827.0
2014-08-05,53826.0
2015-08-10,53783.0
2015-08-21,53744.0
2015-10-10,53721.0
2014-09-19,53705.0
2014-09-15,53680.0
2014-12-30,53651.0
2015-12-05,53622.0
2014-12-20,53359.0
2015-05-16,53355.0
2014-03-09,53332.0
2015-08-14,53295.0
2015-10-12,53154.0
2015-04-06,53141.0
2015-04-05,53094.0
2014-11-07,53089.0
2014-12-29,53024.0
2015-06-06,52994.0
2014-09-11,52980.0
2014-12-21,52840.0
2014-07-29,52762.0
2015-11-01,52733.0
2015-12-06,52729.0
2014-02-22,52724.0
2014-07-17,52680.0
2015-03-28,52653.0
2015-11-15,52577.0
2015-11-22,52388.0
2015-10-25,52364.0
