cod_diagnostico,Frequency.4
494.0,18289
610.0,18286
333.94,18268
1.2.01,18240
725,18232
240.9,18213
E03.9,18158
V02.62,18127
721.3,18121
BW03ZZZ,18085
288.0,18083
99.15,18062
276.8,18038
553.21,18027
309.24,18004
85.21,17975
86.22,17953
669.71,17913
535.0,17837
V15.3,17823
366.16,17811
81.51,17803
564.00B,17789
91.32,17775
338.19,17769
524.62,17739
535.1,17702
842.00,17664
820.09,17631
08RJ3JZ,17578
726.2,17569
427.5,17538
379.91,17514
780.99,17491
690.18,17481
00031,17469
078.11,17466
3E0337Z,17458
294.10,17435
556.9,17434
244.8,17404
535.10,17401
054.2,17319
303.90,17311
300.5,17295
535,17195
V24.1,17194
39.95,17151
174,17151
523.00,17090
782.4,17066
785.52,17049
521.03,17048
68.29,17032
481,17016
727.61,17016
716.9,16975
280.0,16972
153.9,16960
E66.9,16917
389.15,16917
38.59,16837
441.4,16814
08RK3JZ,16788
388.3,16786
00182,16776
59.8,16712
608.9,16707
V49.89,16681
37.21,16632
718.4,16626
V15.09,16584
607.84,16579
256.4,16563
60.01.02,16555
585.4,16539
692.89,16514
414.00,16474
528.5,16444
599.71,16410
695.9,16399
528.9,16382
372.4,16357
E819,16319
789.04,16310
I48.91,16291
726.12,16290
648.22,16232
244.0,16200
BW40ZZZ,16181
601.9,16177
518.0,16140
644.21,16070
346.1,16014
676.52,16013
717,15973
1.1.02,15915
88.41,15908
591,15879
715.35,15871
153.3,15859
V45.11,15816
722.0,15806
724.4,15803
784.2,15782
558,15781
750.6,15757
250.0,15709
611.9,15707
426.0,15687
54.91,15637
305.01,15596
269.2,15566
00033,15535
372.1,15528
272.0H,15515
599.72,15512
93.01,15504
303.93,15499
485,15461
805.4,15449
929.9,15433
14.75,15419
45.25,15418
H26.9,15405
308.0,15381
576.8,15358
99.11,15329
V12.01,15296
361.9,15289
717.2,15285
600.01,15260
N39.0,15238
250.60,15220
427.0,15198
523.0,15198
709.01,15182
729.0,15163
242.90,15136
00062,15114
923.11,15111
924.01,15092
790.21,15070
N40.0,15061
V49.84,15056
625.6,15026
402.91,15019
726.61,15012
J44.9,15010
572.3,14971
10E0XZZ,14956
756.12,14909
367.2,14899
V58.11,14877
637.9,14876
E011.9,14871
110.9,14830
233.4,14826
781.2,14815
379,14796
88.02,14785
724.1,14779
682.2,14770
I12.9,14749
995.1,14715
041.7,14659
20.10.02,14637
36.06,14628
368.2,14621
301.9,14591
722.52,14581
